weight_profile,scenario_key,scenario_label,method,toggle_off,run,seed,feasible,total_score,total_cost,hard_total,kpi_mold_change,kpi_night_mold_change,kpi_inventory,kpi_machine_count,elapsed_sec,status,error
default,no_tabu,Without Tabu refinement,ga,,9,9,False,4791787.673888889,3031011.0,1760776.673888889,7.0,0.0,3030861.0,16.0,59.628,ok,
default,no_tabu,Without Tabu refinement,ga,,10,10,False,4777079.445833333,3323555.0,1453524.4458333333,9.0,0.0,3323385.0,16.0,56.4013,ok,
normalized,full,Full framework,gatabu,,1,1,False,8981.127385920103,3842.577663697879,5138.549722222223,2.0,0.0,7732081.0,17.0,62.1695,ok,
normalized,full,Full framework,gatabu,,2,2,False,8735.199429683886,3379.721096350553,5355.478333333333,1.0,0.0,7005777.0,16.0,61.403,ok,
normalized,full,Full framework,gatabu,,3,3,False,8542.333172024706,3486.655394246928,5055.677777777778,1.0,0.0,7524689.0,15.0,78.5809,ok,
normalized,full,Full framework,gatabu,,4,4,False,9021.712941912847,4081.8182196906246,4939.894722222222,4.0,0.0,7608081.0,16.0,71.8435,ok,
normalized,full,Full framework,gatabu,,5,5,False,9239.398146553965,4135.176479887298,5104.221666666668,4.0,0.0,7587793.0,17.0,65.9257,ok,
normalized,full,Full framework,gatabu,,6,6,False,8809.154986181533,3757.6097084037547,5051.545277777778,3.0,0.0,7126801.0,16.0,68.8818,ok,
normalized,full,Full framework,gatabu,,7,7,False,8640.490119522932,3533.615119522932,5106.875,1.0,0.0,7484497.0,16.0,68.1708,ok,
normalized,full,Full framework,gatabu,,8,8,False,8476.689320845097,3406.639320845096,5070.050000000001,0.0,0.0,7430481.0,17.0,63.0013,ok,
normalized,full,Full framework,gatabu,,9,9,False,8254.125860054295,3231.6991933876293,5022.426666666666,0.0,0.0,7258833.0,15.0,62.9563,ok,
normalized,full,Full framework,gatabu,,10,10,False,9374.330260260384,3886.1547047048293,5488.175555555555,2.0,0.0,8240177.0,15.0,64.3999,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",1,1,False,8981.127385920103,3842.577663697879,5138.549722222223,2.0,0.0,7732081.0,17.0,64.282,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",2,2,False,8735.199429683886,3379.721096350553,5355.478333333333,1.0,0.0,7005777.0,16.0,63.3266,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",3,3,False,8542.333172024706,3486.655394246928,5055.677777777778,1.0,0.0,7524689.0,15.0,61.6541,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",4,4,False,9021.712941912847,4081.8182196906246,4939.894722222222,4.0,0.0,7608081.0,16.0,65.4305,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",5,5,False,9239.398146553965,4135.176479887298,5104.221666666668,4.0,0.0,7587793.0,17.0,89.6171,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",6,6,False,8809.154986181533,3757.6097084037547,5051.545277777778,3.0,0.0,7126801.0,16.0,87.8779,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",7,7,False,8640.490119522932,3533.615119522932,5106.875,1.0,0.0,7484497.0,16.0,65.3078,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",8,8,False,8476.689320845097,3406.639320845096,5070.050000000001,0.0,0.0,7430481.0,17.0,65.1077,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",9,9,False,8254.125860054295,3231.6991933876293,5022.426666666666,0.0,0.0,7258833.0,15.0,64.5541,ok,
normalized,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",10,10,False,9374.330260260384,3886.1547047048293,5488.175555555555,2.0,0.0,8240177.0,15.0,72.2528,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,1,1,False,9318.276171422045,3914.386726977602,5403.889444444443,0.0,0.0,9009937.0,17.0,68.2252,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,2,2,False,9077.619476097014,3947.8603094303467,5129.759166666667,2.0,0.0,8059585.0,17.0,64.0134,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,3,3,False,8957.484202167343,3577.484757722899,5379.999444444445,1.0,0.0,7807233.0,15.0,68.3531,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,4,4,False,9336.49535475613,4267.136188089466,5069.359166666665,3.0,0.0,8525521.0,17.0,60.794,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,5,5,False,9121.030851804317,3940.1319629154286,5180.898888888889,3.0,0.0,7508305.0,17.0,65.1956,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,6,6,False,8984.514161754987,4032.8216617549856,4951.692500000001,4.0,0.0,7641937.0,15.0,69.8817,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,7,7,False,9102.867429295628,4204.151040406738,4898.716388888889,4.0,0.0,7802353.0,17.0,67.6074,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,8,8,False,9096.833609770734,3893.642498659623,5203.191111111111,2.0,0.0,7890929.0,17.0,66.9265,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,9,9,False,8254.125860054295,3231.6991933876293,5022.426666666666,0.0,0.0,7258833.0,15.0,71.4441,ok,
normalized,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,10,10,False,9248.85125926483,4129.931259264829,5118.920000000001,4.0,0.0,7944017.0,15.0,72.2046,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,1,1,False,10034.864657218666,4908.602434996445,5126.262222222221,10.0,0.0,7389073.0,14.0,64.9816,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,2,2,False,9318.165433237973,4399.005988793529,4919.159444444445,7.0,0.0,7199313.0,15.0,63.7959,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,3,3,False,8749.917102057629,3821.187102057628,4928.73,4.0,0.0,7169873.0,14.0,62.1093,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,4,4,False,9526.719136111447,4698.270802778115,4828.448333333333,9.0,0.0,7075761.0,15.0,62.0805,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,5,5,False,9793.794537899113,4939.213704565779,4854.580833333334,9.0,0.0,7825265.0,15.0,65.0141,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,6,6,False,8873.261663159177,3854.817774270287,5018.44388888889,5.0,0.0,6747249.0,14.0,68.5047,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,7,7,False,9385.948985754683,4492.1756524213515,4893.773333333333,7.0,0.0,7489137.0,15.0,67.4413,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,8,8,False,9073.829967977597,4047.6191346442647,5026.210833333333,6.0,0.0,6633489.0,15.0,71.8445,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,9,9,False,8716.143412756282,3912.0239683118375,4804.1194444444445,5.0,0.0,6925201.0,14.0,66.0582,ok,
normalized,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,10,10,False,9652.766181004625,4708.102847671292,4944.663333333333,8.0,0.0,7633585.0,15.0,62.358,ok,
normalized,no_tabu,Without Tabu refinement,ga,,1,1,False,9523.780820181077,4169.9163757366305,5353.864444444445,4.0,0.0,7882129.0,16.0,63.3668,ok,
normalized,no_tabu,Without Tabu refinement,ga,,2,2,False,8958.628946000668,4013.4711682228917,4945.157777777777,4.0,0.0,7395473.0,16.0,58.9009,ok,
normalized,no_tabu,Without Tabu refinement,ga,,3,3,False,8749.917102057629,3821.187102057628,4928.73,4.0,0.0,7169873.0,14.0,60.1624,ok,
normalized,no_tabu,Without Tabu refinement,ga,,4,4,False,9021.712941912847,4081.8182196906246,4939.894722222222,4.0,0.0,7608081.0,16.0,61.3712,ok,
normalized,no_tabu,Without Tabu refinement,ga,,5,5,False,9239.398146553965,4135.176479887298,5104.221666666668,4.0,0.0,7587793.0,17.0,59.7744,ok,
normalized,no_tabu,Without Tabu refinement,ga,,6,6,False,8873.261663159177,3854.817774270287,5018.44388888889,5.0,0.0,6747249.0,14.0,61.3604,ok,
normalized,no_tabu,Without Tabu refinement,ga,,7,7,False,9073.085561643711,4133.945561643713,4939.139999999999,5.0,0.0,7429265.0,15.0,59.5102,ok,
normalized,no_tabu,Without Tabu refinement,ga,,8,8,False,9042.681405167423,4052.9425162785346,4989.738888888889,4.0,0.0,7518257.0,16.0,61.1832,ok,
normalized,no_tabu,Without Tabu refinement,ga,,9,9,False,8716.143412756282,3912.0239683118375,4804.1194444444445,5.0,0.0,6925201.0,14.0,57.7941,ok,
normalized,no_tabu,Without Tabu refinement,ga,,10,10,False,9374.330260260384,3886.1547047048293,5488.175555555555,2.0,0.0,8240177.0,15.0,61.1213,ok,
